eventType,eventTime,symbol,newClientOrderId,side,orderType,quantity,price,orderId,orderTime,lastTradeQuantity,totalTradeQuantity,priceLastTrade,commission,commissionAsset,tradeId,isBuyerMaker,creationTime,totalQuoteTradeQuantity,_id
executionReport,12:14:32 PM,DOGEUSD,UyVgt7DsXFdkWO11RwgYgB,BUY,LIMIT,242.00000000,0.2067,110866778,12:14:32 PM,224.00000000,242.00000000,0.2067,0.00010923,BNB,13795242,true,12:13:55 PM,50.0214,jCcE6ImrCIdxjzRn
executionReport,6:31:59 AM,DOGEUSD,aIZrZUZRw8PRcjRa43GYBs,SELL,LIMIT,263.00000000,0.1898,112011978,6:31:59 AM,263.00000000,263.00000000,0.1898,0.00011979,BNB,13835020,true,6:31:55 AM,49.9174,jDoDjoDXqlqdE7Kp
executionReport,6:34:07 AM,DOGEUSD,Q888OorJkYxVXTEvPXo3BY,SELL,LIMIT,233.00000000,0.2148,110116386,6:34:07 AM,233.00000000,233.00000000,0.2148,0.00012018,BNB,13775202,true,6:34:05 AM,50.0484,jJ2mjMCvPQHdkZOX
executionReport,9:29:02 AM,DOGEUSD,ScRBOBH4SUJeIRF6GweR0y,SELL,LIMIT,260.00000000,0.1925,117327756,9:29:02 AM,260.00000000,260.00000000,0.1925,0.00012681,BNB,14076175,true,9:29:00 AM,50.0500,jM68z1gJprqxWRVe
executionReport,5:29:00 AM,DOGEUSD,l4FG4ZDHrW18om2dW4vUiW,SELL,LIMIT,279.00000000,0.1795,112399355,5:29:00 AM,279.00000000,279.00000000,0.1795,0.00012274,BNB,13851146,true,5:28:59 AM,50.0805,jRzSlKzNI9LOvxfM
executionReport,12:07:53 AM,DOGEUSD,HD17WrJPCTXXjOVcEXthK5,SELL,LIMIT,237.00000000,0.2113,110421935,12:07:53 AM,85.00000000,237.00000000,0.2113,0.00004310,BNB,13783662,true,12:07:47 AM,50.0781,jViZYXN7DIbiDJVn
executionReport,12:17:56 PM,DOGEUSD,i5umFD82jncM5SNW71iWWi,BUY,LIMIT,269.00000000,0.1853,112118168,12:17:56 PM,269.00000000,269.00000000,0.1853,0.00012031,BNB,13839074,true,12:16:16 PM,49.8457,jW37ojCmGAikNIsP
executionReport,1:10:56 PM,DOGEUSD,qj0CoF4rCMgrbq0LeRGyVy,SELL,LIMIT,275.00000000,0.1815,112141160,1:10:56 PM,275.00000000,275.00000000,0.1815,0.00012137,BNB,13840762,true,1:10:51 PM,49.9125,jaap8yJ2KONEA5Rd
executionReport,1:23:13 PM,DOGEUSD,igziltlur7CIz6UMm9fYBS,BUY,LIMIT,237.00000000,0.2110,110243877,1:23:13 PM,237.00000000,237.00000000,0.2110,0.00012020,BNB,13778653,true,1:22:29 PM,50.0070,jajg6umD8owP6bpN
executionReport,3:00:54 AM,DOGEUSD,z9VpGXYg0wgaGHG8blsSUz,SELL,LIMIT,262.00000000,0.1908,111964740,3:00:54 AM,262.00000000,262.00000000,0.1908,0.00012402,BNB,13834051,true,3:00:53 AM,49.9896,jbttP99OfMt5Uivy
executionReport,5:29:00 AM,DOGEUSD,YG9rV2Ut7bszC2sFA9QGzw,SELL,LIMIT,279.00000000,0.1795,112399382,5:29:00 AM,279.00000000,279.00000000,0.1795,0.00012274,BNB,13851149,true,5:29:00 AM,50.0805,jc7YNcTXu00ICYdL
executionReport,1:09:25 PM,DOGEUSD,bxOg6PvdK59uEYNd6mWHSe,SELL,LIMIT,273.00000000,0.1830,112139655,1:09:25 PM,273.00000000,273.00000000,0.1830,0.00012060,BNB,13840537,true,1:09:20 PM,49.9590,jds8P9OF4AcMNkbe
executionReport,7:38:42 AM,DOGEUSD,CCSmQ8PFjNBJnY4R5OlKi3,BUY,LIMIT,285.00000000,0.1751,112447785,7:38:42 AM,285.00000000,285.00000000,0.1751,0.00012371,BNB,13852907,true,7:38:28 AM,49.9035,jeDGprT01b3WOjMH
executionReport,9:32:17 AM,DOGEUSD,1YukmHTgXosJAju6U8KCqQ,BUY,LIMIT,231.00000000,0.2160,110158285,9:32:17 AM,231.00000000,231.00000000,0.2160,0.00011904,BNB,13776561,true,8:30:22 AM,49.8960,jnYR8Fr0b8RxMsVQ
executionReport,7:42:08 AM,DOGEUSD,hBSVVmQEonrfBf3XuGA8yO,BUY,LIMIT,285.00000000,0.1749,112448065,7:42:08 AM,285.00000000,285.00000000,0.1749,0.00012360,BNB,13853066,true,7:38:54 AM,49.8465,jobMVknovLx8rZhE
executionReport,11:59:44 AM,DOGEUSD,RwKPMnKeGNPiS9LrrtRBPo,SELL,LIMIT,240.00000000,0.2080,110859960,11:59:44 AM,240.00000000,240.00000000,0.2080,0.00011645,BNB,13794789,true,11:59:38 AM,49.9200,jqJNput24tADcKFy
executionReport,3:31:31 PM,DOGEUSD,CMV67um9J2JPWeZcKLjqhk,BUY,LIMIT,283.00000000,0.1763,112597430,3:31:31 PM,283.00000000,283.00000000,0.1763,0.00012166,BNB,13859006,true,3:29:00 PM,49.8929,jwB8iUjZ6XuNyOE6
executionReport,1:05:11 PM,DOGEUSD,xC5Hh4BGC24LYeZluQ0p7K,SELL,LIMIT,272.00000000,0.1840,112137476,1:05:11 PM,272.00000000,272.00000000,0.1840,0.00012071,BNB,13840316,true,1:05:03 PM,50.0480,jyvRvlbNuCPrptxe
executionReport,7:23:27 AM,DOGEUSD,mRu0LwLuEH6LPHyHKFZvKV,BUY,LIMIT,284.00000000,0.1758,112438901,7:23:27 AM,284.00000000,284.00000000,0.1758,0.00012376,BNB,13852517,true,7:19:33 AM,49.9272,k0g8H0Ynr2E2rsZ4
